,weight
"X,X,X,X,WK,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,BH,X,X,X,X,X,X,BP,WQB,WR,BP,X,X,X,WP,X,BR,X,X,X,X,X,X,X,BK,WQ,X,BQB,WR,X,X,X,X,X,X,X,BKB,X,X,X,X,X,X,X",100.0
"X,X,X,X,WK,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,BH,X,X,X,X,X,X,BP,WQB,WR,BP,X,X,X,WP,X,BR,X,X,X,X,X,X,X,BK,X,X,BQB,WR,X,X,X,X,X,X,X,BKB,X,X,WQ,X,X,X,X",90.9090909090909
"X,X,X,X,WK,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,BH,BP,WQB,WR,BP,X,X,X,WP,X,BR,X,X,X,X,X,X,X,BK,X,X,BQB,WR,X,X,X,X,X,X,X,BKB,X,X,WQ,X,X,X,X",82.64462809917354
"X,X,X,X,WK,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,WR,X,BH,BP,WQB,WR,BP,X,X,X,WP,X,BR,X,X,X,X,X,X,X,BK,X,X,BQB,X,X,X,X,X,X,X,X,BKB,X,X,WQ,X,X,X,X",75.13148009015777
"X,X,X,X,WK,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,WR,X,BH,BP,WQB,WR,BP,X,X,X,WP,X,BR,X,X,X,X,X,X,X,BK,X,X,X,X,X,X,X,X,X,BQB,X,BKB,X,X,WQ,X,X,X,X",68.30134553650706
"X,X,X,X,X,X,X,X,X,X,X,X,WK,X,X,X,X,X,X,X,X,X,X,X,WR,X,BH,BP,WQB,WR,BP,X,X,X,WP,X,BR,X,X,X,X,X,X,X,BK,X,X,X,X,X,X,X,X,X,BQB,X,BKB,X,X,WQ,X,X,X,X",62.0921323059155
"X,X,X,X,X,X,X,X,X,X,X,X,WK,X,X,X,X,X,X,X,X,X,X,X,WR,X,BH,BP,WQB,WR,BP,X,X,X,WP,BR,WP,X,X,X,X,X,X,X,BK,X,X,X,X,X,X,X,X,X,BQB,X,BKB,X,X,WQ,X,X,X,X",56.44739300537772
"X,X,X,X,X,X,X,X,WR,X,X,X,WK,X,X,X,X,X,X,X,X,X,X,X,X,X,BH,BP,WQB,WR,BP,X,X,X,WP,BR,WP,X,X,X,X,X,X,X,BK,X,X,X,X,X,X,X,X,X,BQB,X,BKB,X,X,WQ,X,X,X,X",51.31581182307065
"X,X,X,X,X,X,X,X,WR,X,X,X,WK,X,X,X,BH,X,X,X,X,X,X,X,X,X,X,BP,WQB,WR,BP,X,X,X,WP,BR,WP,X,X,X,X,X,X,X,BK,X,X,X,X,X,X,X,X,X,BQB,X,BKB,X,X,WQ,X,X,X,X",46.650738020973314
"X,X,X,X,X,X,X,X,WR,X,X,X,WK,X,WQB,X,BH,X,X,X,X,X,X,X,X,X,X,BP,X,WR,BP,X,X,X,WP,BR,WP,X,X,X,X,X,X,X,BK,X,X,X,X,X,X,X,X,X,BQB,X,BKB,X,X,WQ,X,X,X,X",42.40976183724847
"X,X,X,X,X,X,X,X,WR,X,X,X,WK,X,WQB,X,BH,X,X,X,X,X,X,X,X,X,X,BP,X,WR,BP,X,X,X,WP,BR,WP,X,X,X,X,X,X,X,WP,X,X,X,X,X,X,X,BK,X,BQB,X,BKB,X,X,WQ,X,X,X,X",38.55432894295315
"X,X,X,X,X,X,X,X,WR,X,X,X,WK,X,WQB,X,BH,X,X,X,X,X,X,X,X,X,X,BP,X,WR,BP,X,X,X,WP,BR,WP,X,X,X,X,WQ,X,X,WP,X,X,X,X,X,X,X,BK,X,BQB,X,BKB,X,X,X,X,X,X,X",35.04938994813922
"X,X,X,X,X,X,X,X,WR,X,X,X,WK,X,WQB,X,BH,X,X,X,X,X,X,X,X,X,X,BP,X,WR,BP,X,X,X,WP,X,WP,X,X,X,X,WQ,X,X,WP,X,X,X,X,X,X,BR,BK,X,BQB,X,BKB,X,X,X,X,X,X,X",31.863081771035652
"X,X,X,X,X,X,X,X,WR,X,X,X,WK,X,WQB,X,BH,X,X,X,X,X,X,X,X,X,X,BP,WR,X,BP,X,X,X,WP,X,WP,X,X,X,X,WQ,X,X,WP,X,X,X,X,X,X,BR,BK,X,BQB,X,BKB,X,X,X,X,X,X,X",28.96643797366877
"X,X,X,X,X,X,X,X,WR,X,X,X,WK,X,WQB,X,BH,X,X,X,X,X,X,X,X,X,X,BP,WR,X,BP,X,X,X,WP,X,WP,X,X,X,X,WQ,X,X,WP,X,X,X,X,BR,X,X,BK,X,BQB,X,BKB,X,X,X,X,X,X,X",26.33312543060797
"X,X,X,X,X,X,X,X,WR,X,X,X,WK,X,WQB,X,BH,X,X,X,X,X,X,X,X,X,WP,BP,WR,X,BP,X,X,X,X,X,WP,X,X,X,X,WQ,X,X,WP,X,X,X,X,BR,X,X,BK,X,BQB,X,BKB,X,X,X,X,X,X,X",23.939204936916337
"X,X,X,X,X,X,X,X,WR,X,X,X,WK,X,WQB,X,BH,X,X,X,X,X,X,X,X,X,WP,X,WR,X,BP,X,X,X,X,BP,WP,X,X,X,X,WQ,X,X,WP,X,X,X,X,BR,X,X,BK,X,BQB,X,BKB,X,X,X,X,X,X,X",21.76291357901485
"X,X,X,X,X,X,X,X,WR,X,X,X,X,X,WQB,X,BH,X,X,X,WK,X,X,X,X,X,WP,X,WR,X,BP,X,X,X,X,BP,WP,X,X,X,X,WQ,X,X,WP,X,X,X,X,BR,X,X,BK,X,BQB,X,BKB,X,X,X,X,X,X,X",19.784466890013498
"X,X,X,X,X,X,X,X,WR,X,X,X,X,X,WQB,X,BH,X,X,X,WK,X,X,X,X,X,WP,X,WR,X,X,X,X,X,X,BP,WP,X,BP,X,X,WQ,X,X,WP,X,X,X,X,BR,X,X,BK,X,BQB,X,BKB,X,X,X,X,X,X,X",17.98587899092136
"X,WQ,X,X,X,X,X,X,WR,X,X,X,X,X,WQB,X,BH,X,X,X,WK,X,X,X,X,X,WP,X,WR,X,X,X,X,X,X,BP,WP,X,BP,X,X,X,X,X,WP,X,X,X,X,BR,X,X,BK,X,BQB,X,BKB,X,X,X,X,X,X,X",16.35079908265578
"X,WQ,X,X,X,X,X,X,WR,X,X,X,X,X,WQB,X,BH,X,X,X,WK,X,X,X,X,X,WP,X,WR,X,X,X,X,X,X,X,WP,X,BP,X,X,X,X,BP,WP,X,X,X,X,BR,X,X,BK,X,BQB,X,BKB,X,X,X,X,X,X,X",14.864362802414345
"X,WQ,X,X,X,X,X,X,WR,X,X,WK,X,X,WQB,X,BH,X,X,X,BQ,X,X,X,X,X,WP,X,WR,X,X,X,X,X,X,X,WP,X,BP,X,X,X,X,BP,WP,X,X,X,X,BR,X,X,BK,X,BQB,X,BKB,X,X,X,X,X,X,X",13.51305709310395
"X,WQ,X,X,X,X,X,X,WR,X,X,WK,X,X,WQB,X,BH,X,X,X,WH,X,X,X,X,X,WP,X,WR,X,X,X,X,X,BQ,X,WP,X,BP,X,X,X,X,BP,WP,X,X,X,X,BR,X,X,BK,X,BQB,X,BKB,X,X,X,X,X,X,X",12.284597357367225
"X,WQ,WK,X,X,X,X,X,WR,X,X,X,X,X,WQB,X,BH,X,X,X,WH,X,X,X,X,X,WP,X,WR,X,X,X,X,X,BQ,X,WP,X,BP,X,X,X,X,BP,WP,X,X,X,X,BR,X,X,BK,X,BQB,X,BKB,X,X,X,X,X,X,X",11.16781577942475
"X,WQ,WK,X,X,X,X,X,WR,X,X,X,X,X,WQB,X,BH,X,X,X,WH,X,X,X,X,X,WP,X,WR,X,X,X,X,X,BQ,X,WP,X,BP,X,X,X,X,BP,WP,X,X,X,BR,X,X,X,BK,X,BQB,X,BKB,X,X,X,X,X,X,X",10.152559799477045
"X,WQ,WK,X,X,X,X,X,WR,X,WH,X,X,X,WQB,X,BH,X,X,X,X,X,X,X,X,X,WP,X,WR,X,X,X,X,X,BQ,X,WP,X,BP,X,X,X,X,BP,WP,X,X,X,BR,X,X,X,BK,X,BQB,X,BKB,X,X,X,X,X,X,X",9.229599817706404
"X,WQ,WK,X,X,X,X,X,WR,X,WH,X,X,X,WQB,X,BH,X,X,X,X,X,X,X,X,X,WP,X,WR,X,X,X,BQ,X,X,X,WP,X,BP,X,X,X,X,BP,WP,X,X,X,BR,X,X,X,BK,X,BQB,X,BKB,X,X,X,X,X,X,X",8.390545288824002
"X,BH,WK,X,X,X,X,X,WR,X,WH,X,X,X,WQB,X,BH,X,X,X,X,X,X,X,X,X,WP,X,WR,X,X,X,BQ,X,X,X,WP,X,BP,X,X,WQ,X,BP,WP,X,X,X,BR,X,X,X,BK,X,BQB,X,BKB,X,X,X,X,X,X,X",7.627768444385456
"X,BH,WK,X,X,X,X,X,WR,X,WH,X,X,X,WQB,X,BH,X,X,X,X,X,X,X,X,X,WP,X,WR,X,X,X,BQ,X,X,X,WP,X,BP,X,X,WQ,X,BP,WP,X,X,BQB,BR,X,X,X,BK,X,X,X,BKB,X,X,X,X,X,X,X",6.934334949441324
"X,BH,WK,X,X,X,X,X,WR,X,WH,X,WR,X,WQB,X,BH,X,X,X,X,X,X,X,X,X,WP,X,X,X,X,X,BQ,X,X,X,WP,X,BP,X,X,WQ,X,BP,WP,X,X,BQB,BR,X,X,X,BK,X,X,X,BKB,X,X,X,X,X,X,X",6.303940863128475
"X,X,WK,X,X,X,X,X,WR,X,WH,BH,WR,X,WQB,X,BH,X,X,X,X,X,X,X,X,X,WP,X,X,X,X,X,BQ,X,X,X,WP,X,BP,X,X,WQ,X,BP,WP,X,X,BQB,BR,X,X,X,BK,X,X,X,BKB,X,X,X,X,X,X,X",5.730855330116795
"X,WQ,WK,X,X,X,X,X,WR,X,WH,BH,WR,X,WQB,X,BH,X,X,X,X,X,X,X,X,X,WP,X,X,X,X,X,BQ,X,X,X,WP,X,BP,X,X,X,X,BP,WP,X,X,BQB,BR,X,X,X,BK,X,X,X,BKB,X,X,X,X,X,X,X",5.209868481924359
"X,WQ,WK,X,X,X,X,X,WR,X,WH,BH,WR,X,WQB,X,BH,X,X,X,X,X,X,X,X,X,WP,X,X,X,X,X,X,X,X,X,WP,X,BP,X,X,X,X,BP,WP,X,X,BQB,BR,X,BQ,X,BK,X,X,X,BKB,X,X,X,X,X,X,X",4.73624407447669
"X,WQ,WK,X,WR,X,X,X,WR,X,WH,BH,X,X,WQB,X,BH,X,X,X,X,X,X,X,X,X,WP,X,X,X,X,X,X,X,X,X,WP,X,BP,X,X,X,X,BP,WP,X,X,BQB,BR,X,BQ,X,BK,X,X,X,BKB,X,X,X,X,X,X,X",4.305676431342445
"X,WQ,WK,X,WR,X,X,X,WR,X,WH,BH,X,X,WQB,X,X,X,X,X,X,X,X,X,X,X,WP,X,X,X,X,X,X,BH,X,X,WP,X,BP,X,X,X,X,BP,WP,X,X,BQB,BR,X,BQ,X,BK,X,X,X,BKB,X,X,X,X,X,X,X",3.9142513012204048
"X,WQ,WK,X,WR,X,X,X,WR,X,WH,BH,X,X,WQB,X,X,X,X,X,X,X,X,X,X,X,WP,X,X,X,X,X,X,BH,X,WP,WP,X,BP,X,X,X,X,BP,BR,X,X,BQB,BR,X,BQ,X,BK,X,X,X,BKB,X,X,X,X,X,X,X",3.5584102738367314
"X,WQ,WK,X,WR,X,X,X,WR,X,WH,BH,X,X,WQB,X,X,X,X,X,X,X,X,X,X,X,WP,X,X,X,X,X,X,BH,X,WP,WP,X,BP,X,X,X,X,BP,BR,X,X,BQB,BR,X,BQ,BK,X,X,X,X,BKB,X,X,X,X,X,X,X",3.2349184307606644
"X,WQ,WK,X,WR,WQB,X,X,WR,X,WH,BH,X,X,BP,X,X,X,X,X,X,X,X,X,X,X,WP,X,X,X,X,X,X,BH,X,WP,WP,X,BP,X,X,X,X,BP,BR,X,X,BQB,BR,X,BQ,BK,X,X,X,X,BKB,X,X,X,X,X,X,X",2.940834937055149
"X,WQ,WK,X,WR,WQB,X,X,WR,X,WH,BH,X,X,BP,X,X,X,X,X,X,X,X,X,X,X,WP,X,X,X,X,X,X,BH,X,WP,WP,X,BP,X,X,X,X,BP,BR,X,X,BQB,BR,BKB,BQ,BK,X,X,X,X,X,X,X,X,X,X,X,X",2.6734863064137717
"X,WQ,X,X,WR,WQB,X,X,WR,WK,WH,BH,X,X,BP,X,X,X,X,X,X,X,X,X,X,X,WP,X,X,X,X,X,X,BH,X,WP,WP,X,BP,X,X,X,X,BP,BR,X,X,BQB,BR,BKB,BQ,BK,X,X,X,X,X,X,X,X,X,X,X,X",2.4304420967397924
"X,WQ,X,X,WR,WQB,X,X,WR,WK,WH,BH,X,X,X,X,X,X,X,X,X,X,BP,X,X,X,WP,X,X,X,X,X,X,BH,X,WP,WP,X,BP,X,X,X,X,BP,BR,X,X,BQB,BR,BKB,BQ,BK,X,X,X,X,X,X,X,X,X,X,X,X",2.209492815217993
"X,WQ,X,X,WR,WQB,X,X,WR,X,WH,BH,X,X,X,X,X,WK,X,X,X,X,BP,X,X,X,WP,X,X,X,X,X,X,BH,X,WP,WP,X,BP,X,X,X,X,BP,BR,X,X,BQB,BR,BKB,BQ,BK,X,X,X,X,X,X,X,X,X,X,X,X",2.008629832016357
"X,WQ,X,X,WR,WQB,X,X,WR,X,WH,X,X,X,X,X,X,WK,X,X,X,X,BP,X,X,X,WP,X,BH,X,X,X,X,BH,X,WP,WP,X,BP,X,X,X,X,BP,BR,X,X,BQB,BR,BKB,BQ,BK,X,X,X,X,X,X,X,X,X,X,X,X",1.8260271200148699
"X,WQ,X,X,WR,WQB,X,X,WR,X,X,X,X,X,X,X,X,WK,X,X,X,X,BP,X,X,WH,WP,X,BH,X,X,X,X,BH,X,WP,WP,X,BP,X,X,X,X,BP,BR,X,X,BQB,BR,BKB,BQ,BK,X,X,X,X,X,X,X,X,X,X,X,X",1.6600246545589725
"X,WQ,X,X,WR,WQB,X,X,WR,X,X,X,X,BH,X,X,X,WK,X,X,X,X,BP,X,X,WH,WP,X,X,X,X,X,X,BH,X,WP,WP,X,BP,X,X,X,X,BP,BR,X,X,BQB,BR,BKB,BQ,BK,X,X,X,X,X,X,X,X,X,X,X,X",1.5091133223263384
"X,WQ,X,X,WR,WQB,X,X,WR,X,X,X,X,BH,X,X,X,WK,X,X,X,X,BP,X,X,WH,WP,WP,X,X,X,X,X,BH,X,X,WP,X,BP,X,X,X,X,BP,BR,X,X,BQB,BR,BKB,BQ,BK,X,X,X,X,X,X,X,X,X,X,X,X",1.371921202114853
"X,WQ,X,X,WR,WQB,X,X,WR,X,X,X,X,BH,X,X,X,WK,X,X,X,X,BP,X,X,WH,WP,WP,X,X,X,X,BQ,BH,X,X,WP,X,BP,X,X,X,X,BP,BR,X,X,BQB,BR,BKB,X,BK,X,X,X,X,X,X,X,X,X,X,X,X",1.2472010928316846
"X,WQ,X,X,WR,WQB,X,X,X,WR,X,X,X,BH,X,X,X,WK,X,X,X,X,BP,X,X,WH,WP,WP,X,X,X,X,BQ,BH,X,X,WP,X,BP,X,X,X,X,BP,BR,X,X,BQB,BR,BKB,X,BK,X,X,X,X,X,X,X,X,X,X,X,X",1.1338191753015314
"X,WQ,X,X,WR,WQB,X,X,X,WR,X,X,X,BH,X,X,X,WK,X,X,X,X,BP,X,X,WH,WP,WP,X,X,X,X,X,BH,X,X,WP,X,BP,X,X,X,X,BP,BR,X,X,BQB,BR,BKB,X,BK,X,X,X,X,X,X,X,BQ,X,X,X,X",1.030744704819574
"X,X,X,WQ,WR,WQB,X,X,X,WR,X,X,X,BH,X,X,X,WK,X,X,X,X,BP,X,X,WH,WP,WP,X,X,X,X,X,BH,X,X,WP,X,BP,X,X,X,X,BP,BR,X,X,BQB,BR,BKB,X,BK,X,X,X,X,X,X,X,BQ,X,X,X,X",0.9370406407450671
"X,X,X,WQ,WR,WQB,X,X,X,WR,X,X,X,BH,X,X,X,WK,X,X,X,X,BP,X,X,WH,WP,WP,X,X,X,X,X,BH,X,X,WP,X,BP,X,X,X,X,BP,X,X,BR,BQB,BR,BKB,X,BK,X,X,X,X,X,X,X,BQ,X,X,X,X",0.8518551279500609
"X,X,X,WQ,WR,WQB,X,X,X,WR,X,X,X,BH,X,X,X,WK,X,X,X,X,BP,X,X,WH,WP,WP,WP,X,X,X,X,BH,X,X,X,X,BP,X,X,X,X,BP,X,X,BR,BQB,BR,BKB,X,BK,X,X,X,X,X,X,X,BQ,X,X,X,X",0.7744137526818735
"X,X,X,WQ,WR,WQB,X,X,X,WR,X,X,X,BH,X,X,X,WK,X,X,X,X,BP,X,X,WH,WP,WP,WP,X,X,X,X,BH,X,X,X,X,BP,X,BKB,X,X,BP,X,X,BR,BQB,BR,X,X,BK,X,X,X,X,X,X,X,BQ,X,X,X,X",0.7040125024380668
"X,X,X,WQ,WR,WQB,X,X,X,WR,X,X,WP,BH,X,X,X,WK,X,X,X,X,BP,X,X,WH,WP,WP,X,X,X,X,X,BH,X,X,X,X,BP,X,BKB,X,X,BP,X,X,BR,BQB,BR,X,X,BK,X,X,X,X,X,X,X,BQ,X,X,X,X",0.640011365852788
"X,X,X,WQ,WR,WQB,X,X,X,WR,X,X,WP,BH,X,X,X,WK,X,X,X,X,BP,X,X,WH,WP,WP,X,X,X,X,X,BH,X,X,X,X,BP,X,BKB,X,X,BP,X,X,BR,BQB,BR,X,X,X,X,X,X,X,X,X,X,BQ,BK,X,X,X",0.5818285144116253
"X,X,X,WQ,WR,WQB,X,X,WK,WR,X,X,WP,BH,X,X,X,X,X,X,X,X,BP,X,X,WH,WP,WP,X,X,X,X,X,BH,X,X,X,X,BP,X,BKB,X,X,BP,X,X,BR,BQB,BR,X,X,X,X,X,X,X,X,X,X,BQ,BK,X,X,X",0.5289350131014775
"X,X,X,WQ,WR,WQB,X,X,WK,WR,X,X,WP,BH,X,X,X,X,X,X,X,X,X,X,X,WH,WP,WP,X,X,BP,X,X,BH,X,X,X,X,BP,X,BKB,X,X,BP,X,X,BR,BQB,BR,X,X,X,X,X,X,X,X,X,X,BQ,BK,X,X,X",0.480850011910434
"X,X,WQ,X,WR,WQB,X,X,WK,WR,X,X,WP,BH,X,X,X,X,X,X,X,X,X,X,X,WH,WP,WP,X,X,BP,X,X,BH,X,X,X,X,BP,X,BKB,X,X,BP,X,X,BR,BQB,BR,X,X,X,X,X,X,X,X,X,X,BQ,BK,X,X,X",0.4371363744640309
"X,X,WQ,X,WR,WQB,X,X,WK,WR,X,X,WP,BH,X,X,X,X,X,X,X,X,X,X,X,WH,WP,WP,X,X,BP,X,X,BH,X,X,X,X,BP,X,BKB,X,X,BP,X,X,BR,BQB,X,X,X,X,X,X,X,X,BR,X,X,BQ,BK,X,X,X",0.39739670405820987
"X,X,WQ,X,WR,WQB,X,X,WK,WR,X,X,WP,BH,X,X,X,X,X,WH,X,X,X,X,X,BP,WP,WP,X,X,BP,X,X,BH,X,X,X,X,BP,X,BKB,X,X,BP,X,X,BR,BQB,X,X,X,X,X,X,X,X,BR,X,X,BQ,BK,X,X,X",0.36126973096200893
"X,X,WQ,X,WR,WQB,X,X,WK,WR,X,X,WP,BH,X,X,X,X,X,WH,X,X,X,X,X,BP,WP,WP,X,X,BP,X,X,BH,X,X,X,X,BP,X,BKB,X,X,BP,X,X,BR,BQB,X,X,X,BQ,X,X,X,X,BR,X,X,WKB,BK,X,X,X",0.3284270281472808
"X,X,X,X,WR,WQB,X,X,WK,WR,WQ,X,WP,BH,X,X,X,X,X,WH,X,X,X,X,X,BP,WP,WP,X,X,BP,X,X,BH,X,X,X,X,BP,X,BKB,X,X,BP,X,X,BR,BQB,X,X,X,BQ,X,X,X,X,BR,X,X,WKB,BK,X,X,X",0.2985700255884371
"X,X,X,X,WR,WQB,X,X,WK,WR,WQ,X,WP,BH,X,X,X,X,X,WH,X,X,X,X,X,BP,WP,WP,X,X,BP,X,X,BH,X,X,X,X,BP,X,BKB,X,X,BP,X,X,BR,X,X,X,X,BQ,X,X,X,X,BR,X,X,WKB,BK,BQB,X,X",0.2714272959894882
"X,X,X,X,WR,WQB,X,X,WK,WR,WQ,X,WP,BH,X,X,X,X,X,X,X,X,X,X,X,BP,WP,WP,X,X,BP,X,X,BH,X,X,WH,X,BP,X,BKB,X,X,BP,X,X,BR,X,X,X,X,BQ,X,X,X,X,BR,X,X,WKB,BK,BQB,X,X",0.2467520872631711
